,stockpx,iv30,iv60,diff,"diff, %",iv90,m1atmiv,m1dtex,m2atmiv,m2dtex,m3atmiv,m3dtex,m4atmiv,m4dtex,slope,deriv,slope_inf,deriv_inf,10dclsHV,20dclsHV,60dclsHV,120dclsHV,252dclsHV,10dORHV,20dORHV,60dORHV,120dORHV,252dORHV
DEI,13.94,46.82,41.52,5.3,11%,40.93,60.32,12,42.02,40,40.73,103,39.48,194,4.95844,0.1783,3.17227,0.6372,42.76,52.46,49.92,47.4,41.86,54.47,57.3,54.09,51.89,45.67
SPWR,9.52,71.5,66.31,5.19,7%,64.89,61.69,12,70.43,40,65.45,68,63.54,159,0.99603,0.0967,1.39497,0.1133,43.83,40.11,52.27,55.87,64.53,54.74,55.13,62.49,66.43,69.24
AUR,3.07,97.84,92.71,5.13,5%,89.23,69.87,12,107.78,40,88.3,68,91.41,159,-0.00039,0,-0.33649,0,111.26,103.18,98.29,94.52,91.29,133.15,119.38,106.11,103.18,102.15
VFC,19.27,53.87,48.78,5.09,9%,47.66,48.26,12,50.5,40,46.41,131,44.96,194,1.58507,0.0615,2.62633,0.1054,30.97,29.53,43.83,43.84,45.12,38.07,36.47,46.56,47.24,46.98
IGOV,39.42,20.83,16,4.83,23%,14.39,30.51,12,17.39,40,13.83,103,14.29,194,0.01016,0,5.3205,0,7.81,7.71,9.34,10.64,13.04,8.53,8.59,9.33,9.9,11.6
DPZ,349.79,33.37,28.55,4.82,14%,27.71,21.58,12,31.3,40,27.81,68,27.48,159,1.59216,0.064,3.42592,0.0799,15.79,27.55,27.3,30.87,32.98,24.07,27.32,29.2,30.78,33.63
HIBS,3.44,85.73,80.99,4.74,6%,83.87,106.07,12,78.51,40,87.03,131,83.94,222,-0.00328,0.0001,-3.06257,0.1345,53.47,53.22,59.25,71.75,86.42,57.61,54.88,59.76,71.72,86.14
TSLA,269.79,55.26,50.53,4.73,9%,50.72,67.46,12,53.06,40,49.83,68,51.13,103,0.01942,0.0808,0.52865,0.1029,40.85,50.64,47.45,55.89,59.36,39.66,50.11,48.46,56.66,60.55
OWL,11.3,39.86,35.17,4.69,12%,34.88,52.38,12,35.41,40,34.57,131,34.54,194,3.13751,0.0001,3.64672,0.0207,23,23.53,32.26,37.23,43.6,27.5,28.46,38.53,42,46.32
OPRA,25.44,84.55,79.94,4.61,5%,75.87,87.65,12,83.44,40,74.44,103,72.56,194,-0.8315,0.0008,-0.15434,0.0727,59.16,85.47,86.92,78.06,66.23,89.67,94.28,94.51,82.9,75.36
TEVA,8.13,44.97,40.41,4.56,10%,39.98,34.45,12,44.45,40,39.66,68,40.73,159,-0.47662,0.2163,0.12907,0.1051,28.96,24.54,38.25,35.48,47.72,33.97,31.14,37.46,35.33,44.27
EA,137.33,28.39,23.93,4.46,16%,23.51,21.68,12,26.19,40,23.36,68,23.88,159,1.76111,0.0767,3.31061,0.1263,31.27,25.41,18.32,22.5,22.33,33,26.17,20.97,21.81,23.73
PGX,11.37,14.85,10.47,4.38,29%,9.82,11.57,12,16.02,40,8.84,68,12.12,159,0,0,0,0,12.04,10.52,13.9,17.2,15.62,12.27,11.4,13.56,16.52,15.42
BUD,56.2,27.98,23.65,4.33,15%,23,20.12,12,26.91,40,22.96,68,23.1,159,2.64949,0.1322,3.75425,0.1818,19.3,23.65,23.62,22.12,25.11,13.84,17.44,18.51,18.3,20.82
IBM,134.44,23.67,19.35,4.32,18%,18.34,31.71,12,22.23,40,18.55,68,18.24,103,1.55384,0.0149,3.99232,0.1193,13.85,16.8,14.81,17.01,20.15,15.84,16.59,17,18.45,21
RBLX,43.64,70.89,66.69,4.2,6%,62.05,57.21,12,73.21,40,64.99,68,60.66,103,0.2162,0.0495,1.78108,0.039,60.96,57.19,56.29,66.88,71.17,65.87,61.54,56.9,63.91,71.8
SYF,34.72,33.88,29.7,4.18,12%,29.62,40.77,12,31.43,40,29.19,68,30.63,159,2.74294,0.0164,3.95568,0.1347,20.64,18.96,27.72,36.96,38.36,24.26,23.67,31.15,38.63,39.88
PLUG,11.18,85.12,80.96,4.16,5%,78.97,76.27,12,85.13,40,80.15,68,76.17,159,-0.85245,0.0807,0.25739,0.1398,55.93,72.33,75.76,71.33,77.09,72.01,81.64,78.21,76.6,77.77
TWLO,65.33,61.44,57.29,4.15,7%,53.06,49.23,12,62.14,40,51.58,103,51.41,194,-0.12104,0.0416,1.72351,0.0612,32.48,33.48,58.22,59.62,72.39,39.76,41.75,55.77,58.29,69.29
AMD,111.32,49.92,45.8,4.12,8%,44.01,41.32,12,47.86,40,45.03,68,43.53,103,-0.08166,0.0464,0.471,0.0652,23.75,36.45,51.83,51.73,51.27,31.92,43.8,51.65,51.2,52.53
MSFT,332.47,30.38,26.27,4.11,14%,24.9,24.52,12,28.61,40,25.68,68,24.54,103,1.53406,0.0879,3.16793,0.1217,16.99,22.57,25.89,27.5,31.44,19.59,23.47,23.86,26.66,30.16
UPST,43.11,117.3,113.24,4.06,3%,108.22,107.43,12,121.48,40,111.14,68,106.84,103,-1.58162,0.0532,0.3274,0.0367,80.93,89.57,135.16,123.53,107.01,105.76,101.63,127.76,118.61,110.47
CAG,33.12,24.65,20.6,4.05,16%,20.03,34.09,12,22.12,40,20.04,68,19.99,159,3.94,0.0147,4.8077,0.102,21.3,17.22,16.9,17.14,20.28,20.53,18.93,19.43,19.94,22.43
BK,44.65,27.67,23.73,3.94,14%,23.77,35.37,12,24.93,40,23.38,68,24.69,159,4.25792,0.0134,4.93247,0.1394,18.89,18.4,24.41,26.62,27.74,19.52,20.19,25.42,26.28,28.4
BBD,3.37,39.16,35.22,3.94,10%,34.45,44.57,12,37.24,40,34.62,68,34.02,159,0.03797,0.0022,3.74674,0.2259,35.62,31.3,32.07,39.45,48.5,31.34,28.56,33.46,37.99,43.68
QCOM,116.87,36.58,32.64,3.94,11%,31.21,28.91,12,34.56,40,32.11,68,30.78,103,1.46627,0.0409,2.77746,0.0769,23.93,28.74,32.7,32.62,37.4,24.59,27.83,31.11,32.78,37.67
ON,96.64,44.22,40.3,3.92,9%,39.11,34.15,12,42.26,40,39.63,68,38.86,103,1.06694,0.0674,2.08653,0.0636,33.83,29.81,40.02,43.36,49.15,34.17,30.78,41.63,45.03,50.73
